Fecha,Comprobante,Cliente,Producto,Cantidad,Importe
2023-01-05,In-00578,Morgan Garcia,Turrones,8,20
2023-01-05,In-01157,Sam Garcia,Marshmallows,6,9
2023-01-05,In-01201,Casey Miller,Chicles,13,3
2023-01-05,In-01294,Jordan Garcia,Bombones,14,42
2023-01-05,In-01386,Morgan Smith,Marshmallows,7,10
2023-01-05,In-01445,Morgan Miller,Turrones,11,27
2023-01-05,In-01684,Riley Miller,Bombones,3,9
2023-01-05,In-01764,Jordan Davis,Bombones,13,39
2023-01-05,In-01837,Alex Garcia,Bombones,17,51
2023-01-05,In-01867,Sam Rodriguez,Gomitas,13,15
2023-01-05,In-01910,Avery Williams,Bombones,1,3
2023-01-06,In-00033,Riley Davis,Chicles,14,4
2023-01-06,In-00111,Sam Smith,Frutas confitadas,1,2
2023-01-06,In-00249,Taylor Williams,Gomitas,3,3
2023-01-06,In-00338,Riley Williams,Chocolate,1,2
2023-01-06,In-00451,Morgan Smith,Turrones,19,47
2023-01-06,In-00616,Taylor Wilson,Bombones,14,42
2023-01-06,In-00747,Morgan Johnson,Bombones,9,27
2023-01-06,In-00885,Riley Brown,Gomitas,11,13
2023-01-06,In-00904,Avery Davis,Frutas confitadas,7,15
2023-01-06,In-01315,Morgan Johnson,Chicles,1,0
2023-01-06,In-01732,Morgan Wilson,Chicles,4,1
2023-01-06,In-01817,Taylor Smith,Frutas confitadas,11,24
2023-01-06,In-01847,Jordan Wilson,Chocolate,10,25
2023-01-07,In-00367,Jordan Jones,Caramelos,15,7
2023-01-07,In-00576,Morgan Smith,Chocolate,2,5
2023-01-07,In-00687,Alex Wilson,Paletas,8,6
2023-01-07,In-00789,Avery Brown,Caramelos,2,1
2023-01-07,In-01337,Morgan Smith,Chocolate,2,5
2023-01-07,In-01366,Jordan Williams,Caramelos,16,8
2023-01-07,In-01427,Morgan Wilson,Gomitas,1,1
2023-01-07,In-01470,Morgan Williams,Turrones,8,20
2023-01-07,In-01617,Taylor Rodriguez,Paletas,16,12
2023-01-07,In-01907,Taylor Johnson,Marshmallows,18,27
2023-01-08,In-00051,Taylor Wilson,Galletas,7,14
2023-01-08,In-00077,Taylor Rodriguez,Turrones,17,42
2023-01-08,In-00101,Jordan Rodriguez,Bombones,13,39
2023-01-08,In-00152,Riley Wilson,Paletas,7,5
2023-01-08,In-00485,Alex Miller,Galletas,12,24
2023-01-08,In-00539,Morgan Johnson,Chicles,19,5
2023-01-08,In-00743,Quinn Garcia,Galletas,5,10
2023-01-08,In-01021,Sam Garcia,Galletas,6,12
2023-01-08,In-01515,Morgan Davis,Bombones,4,12
2023-01-08,In-01662,Casey Johnson,Bombones,13,39
2023-01-08,In-01806,Avery Williams,Frutas confitadas,8,17
2023-01-08,In-01822,Morgan Garcia,Marshmallows,10,15
2023-01-08,In-01931,Sam Johnson,Marshmallows,11,16
2023-01-08,In-01933,Riley Wilson,Galletas,7,14
2023-01-09,In-00100,Riley Garcia,Chicles,19,5
2023-01-09,In-00172,Morgan Davis,Bombones,7,21
2023-01-09,In-00257,Quinn Garcia,Frutas confitadas,8,17
2023-01-09,In-00403,Avery Wilson,Caramelos,10,5
2023-01-09,In-00469,Sam Wilson,Caramelos,10,5
2023-01-09,In-00622,Jordan Johnson,Turrones,6,15
2023-01-09,In-00634,Taylor Garcia,Paletas,4,3
2023-01-09,In-00699,Jordan Smith,Turrones,16,40
2023-01-09,In-00874,Quinn Davis,Gomitas,14,16
2023-01-09,In-00995,Riley Miller,Chocolate,17,42
2023-01-09,In-01043,Taylor Smith,Chocolate,15,37
2023-01-09,In-01051,Avery Jones,Chicles,7,2
2023-01-09,In-01137,Alex Garcia,Turrones,17,42
2023-01-09,In-01170,Jamie Johnson,Bombones,7,21
2023-01-09,In-01292,Avery Smith,Frutas confitadas,6,13
2023-01-09,In-01512,Alex Williams,Marshmallows,5,7
2023-01-09,In-01599,Avery Jones,Bombones,17,51
2023-01-09,In-01699,Alex Williams,Turrones,14,35
2023-01-09,In-01720,Morgan Miller,Caramelos,8,4
2023-01-09,In-01817,Alex Garcia,Turrones,12,30
2023-01-09,In-01931,Riley Wilson,Chicles,4,1
2023-01-10,In-00031,Morgan Wilson,Galletas,12,24
2023-01-10,In-00381,Avery Wilson,Galletas,17,34
2023-01-10,In-00461,Jordan Davis,Chocolate,6,15
2023-01-10,In-00512,Casey Brown,Marshmallows,16,24
2023-01-10,In-00528,Jamie Jones,Marshmallows,7,10
2023-01-10,In-00563,Casey Smith,Paletas,4,3
2023-01-10,In-00624,Jordan Jones,Galletas,6,12
2023-01-10,In-00713,Alex Garcia,Chocolate,3,7
2023-01-10,In-00890,Alex Jones,Chocolate,13,32
2023-01-10,In-00900,Morgan Jones,Frutas confitadas,6,13
2023-01-10,In-01080,Jordan Rodriguez,Frutas confitadas,2,4
2023-01-10,In-01166,Taylor Wilson,Caramelos,12,6
2023-01-10,In-01208,Alex Jones,Caramelos,1,0
2023-01-10,In-01273,Avery Rodriguez,Frutas confitadas,9,19
2023-01-10,In-01295,Sam Davis,Bombones,18,54
2023-01-10,In-01436,Jordan Brown,Galletas,5,10
2023-01-10,In-01512,Alex Brown,Bombones,17,51
2023-01-10,In-01596,Alex Miller,Frutas confitadas,4,8
2023-01-10,In-01628,Casey Garcia,Caramelos,14,7
2023-01-10,In-01650,Taylor Johnson,Chocolate,19,47
2023-01-10,In-01733,Avery Garcia,Turrones,15,37
2023-01-11,In-00294,Jamie Rodriguez,Gomitas,11,13
2023-01-11,In-00411,Jamie Jones,Galletas,16,32
2023-01-11,In-00590,Riley Smith,Gomitas,2,2
2023-01-11,In-00719,Jordan Williams,Paletas,11,8
2023-01-11,In-00726,Casey Johnson,Bombones,5,15
2023-01-11,In-00879,Casey Jones,Chocolate,7,17
2023-01-11,In-01248,Taylor Johnson,Caramelos,11,5
2023-01-11,In-01250,Quinn Brown,Paletas,11,8
2023-01-11,In-01367,Taylor Wilson,Chicles,12,3
2023-01-11,In-01873,Taylor Smith,Caramelos,7,3
2023-01-12,In-00003,Morgan Miller,Chocolate,13,32
2023-01-12,In-00141,Alex Jones,Galletas,15,30
2023-01-12,In-00369,Jamie Garcia,Bombones,7,21
2023-01-12,In-00614,Avery Wilson,Galletas,2,4
2023-01-12,In-00628,Morgan Garcia,Frutas confitadas,1,2
2023-01-12,In-00764,Morgan Jones,Galletas,9,18
2023-01-12,In-00985,Alex Johnson,Chicles,3,0
2023-01-12,In-00998,Avery Williams,Frutas confitadas,10,22
2023-01-12,In-01257,Riley Jones,Chicles,15,4
2023-01-12,In-01316,Taylor Williams,Turrones,15,37
2023-01-12,In-01329,Morgan Rodriguez,Gomitas,7,8
2023-01-12,In-01356,Casey Rodriguez,Chicles,8,2
2023-01-12,In-01626,Avery Davis,Gomitas,18,21
2023-01-12,In-01658,Alex Garcia,Marshmallows,16,24
2023-01-12,In-01701,Jamie Jones,Chocolate,1,2
2023-01-12,In-01915,Quinn Wilson,Bombones,17,51
2023-01-12,In-01980,Casey Jones,Frutas confitadas,16,35
2023-01-13,In-00097,Sam Rodriguez,Turrones,8,20
2023-01-13,In-00142,Quinn Rodriguez,Galletas,12,24
2023-01-13,In-00215,Jamie Johnson,Turrones,6,15
2023-01-13,In-00262,Casey Garcia,Frutas confitadas,15,33
2023-01-13,In-00298,Riley Brown,Turrones,15,37
2023-01-13,In-00690,Jordan Jones,Marshmallows,11,16
2023-01-13,In-00693,Avery Miller,Turrones,2,5
2023-01-13,In-00705,Sam Jones,Chicles,10,3
2023-01-13,In-00833,Sam Jones,Frutas confitadas,16,35
2023-01-13,In-00982,Morgan Garcia,Turrones,4,10
2023-01-13,In-01105,Sam Garcia,Frutas confitadas,17,37
2023-01-13,In-01317,Taylor Johnson,Caramelos,12,6
2023-01-13,In-01422,Riley Miller,Turrones,7,17
2023-01-13,In-01567,Avery Williams,Turrones,15,37
2023-01-13,In-01694,Jamie Johnson,Frutas confitadas,7,15
2023-01-13,In-01788,Sam Miller,Frutas confitadas,12,26
2023-01-14,In-00060,Taylor Jones,Marshmallows,19,28
2023-01-14,In-00285,Avery Wilson,Galletas,8,16
2023-01-14,In-00321,Morgan Johnson,Paletas,5,4
2023-01-14,In-00990,Alex Davis,Turrones,1,2
2023-01-14,In-01049,Avery Wilson,Marshmallows,5,7
2023-01-14,In-01460,Casey Johnson,Marshmallows,19,28
2023-01-14,In-01484,Avery Garcia,Caramelos,13,6
2023-01-14,In-01517,Morgan Johnson,Frutas confitadas,11,24
2023-01-14,In-01660,Jamie Garcia,Turrones,10,25
2023-01-14,In-01789,Alex Jones,Gomitas,12,14
2023-01-14,In-01834,Taylor Williams,Marshmallows,9,13
2023-01-14,In-01864,Taylor Garcia,Marshmallows,17,25
2023-01-14,In-01934,Morgan Smith,Bombones,10,30
2023-01-14,In-01956,Jordan Williams,Frutas confitadas,13,28
2023-01-15,In-00306,Avery Davis,Gomitas,18,21
2023-01-15,In-00357,Casey Williams,Gomitas,3,3
2023-01-15,In-00382,Casey Davis,Turrones,12,30
2023-01-15,In-00426,Taylor Davis,Frutas confitadas,11,24
2023-01-15,In-00533,Sam Miller,Chocolate,11,27
2023-01-15,In-01041,Riley Brown,Chocolate,11,27
2023-01-15,In-01164,Jordan Garcia,Chocolate,3,7
2023-01-15,In-01390,Alex Jones,Turrones,3,7
2023-01-15,In-01400,Quinn Miller,Chocolate,2,5
2023-01-15,In-01785,Jordan Johnson,Galletas,15,30
2023-01-15,In-01823,Jamie Miller,Marshmallows,4,6
2023-01-16,In-00134,Avery Williams,Paletas,6,4
2023-01-16,In-00451,Sam Rodriguez,Marshmallows,7,10
2023-01-16,In-00568,Jordan Miller,Turrones,11,27
2023-01-16,In-00884,Avery Miller,Chicles,8,2
2023-01-16,In-01107,Riley Garcia,Paletas,15,12
2023-01-16,In-01143,Casey Wilson,Caramelos,15,7
2023-01-16,In-01166,Riley Wilson,Bombones,1,3
2023-01-16,In-01219,Morgan Jones,Frutas confitadas,5,11
2023-01-16,In-01322,Taylor Garcia,Paletas,4,3
2023-01-16,In-01887,Riley Rodriguez,Chicles,3,0
2023-01-17,In-00179,Quinn Brown,Caramelos,1,0
2023-01-17,In-00945,Jamie Miller,Chicles,16,4
2023-01-17,In-01048,Sam Miller,Marshmallows,4,6
2023-01-17,In-01510,Quinn Davis,Chocolate,6,15
2023-01-17,In-01513,Alex Brown,Gomitas,6,7
2023-01-17,In-01525,Taylor Davis,Gomitas,3,3
2023-01-17,In-01730,Morgan Wilson,Chicles,17,5
2023-01-17,In-01735,Riley Williams,Galletas,19,38
2023-01-17,In-01789,Jamie Miller,Gomitas,2,2
2023-01-18,In-00229,Jordan Rodriguez,Marshmallows,17,25
2023-01-18,In-00676,Jamie Williams,Bombones,13,39
2023-01-18,In-00815,Taylor Johnson,Galletas,5,10
2023-01-18,In-00851,Jordan Rodriguez,Bombones,10,30
2023-01-18,In-00863,Taylor Davis,Gomitas,3,3
2023-01-18,In-00928,Alex Jones,Chicles,4,1
2023-01-18,In-00930,Quinn Davis,Frutas confitadas,9,19
2023-01-18,In-00957,Alex Miller,Bombones,1,3
2023-01-18,In-01000,Taylor Johnson,Chocolate,7,17
2023-01-18,In-01053,Jamie Miller,Galletas,10,20
2023-01-18,In-01078,Sam Johnson,Gomitas,13,15
2023-01-18,In-01952,Jamie Wilson,Gomitas,4,4
2023-01-18,In-01969,Quinn Miller,Galletas,15,30
2023-01-19,In-00010,Avery Wilson,Caramelos,11,5
2023-01-19,In-00044,Sam Miller,Paletas,9,7
2023-01-19,In-00293,Sam Davis,Paletas,9,7
2023-01-19,In-00349,Taylor Rodriguez,Bombones,8,24
2023-01-19,In-00366,Jordan Miller,Paletas,16,12
2023-01-19,In-00443,Avery Davis,Chocolate,10,25
2023-01-19,In-00570,Alex Johnson,Bombones,8,24
2023-01-19,In-00693,Alex Rodriguez,Chicles,9,2
2023-01-19,In-00906,Riley Rodriguez,Marshmallows,13,19
2023-01-19,In-00922,Casey Wilson,Turrones,10,25
2023-01-19,In-01388,Taylor Jones,Bombones,9,27
2023-01-19,In-01530,Taylor Miller,Marshmallows,7,10
2023-01-19,In-01541,Casey Rodriguez,Chocolate,16,40
2023-01-19,In-01785,Jamie Rodriguez,Paletas,17,13
2023-01-19,In-01883,Quinn Jones,Paletas,2,1
2023-01-19,In-01969,Morgan Garcia,Caramelos,8,4
2023-01-20,In-00058,Avery Miller,Frutas confitadas,12,26
2023-01-20,In-00262,Alex Rodriguez,Galletas,19,38
2023-01-20,In-00340,Casey Williams,Frutas confitadas,10,22
2023-01-20,In-00347,Avery Smith,Turrones,15,37
2023-01-20,In-00464,Riley Wilson,Caramelos,17,8
2023-01-20,In-00514,Quinn Jones,Bombones,16,48
2023-01-20,In-00611,Riley Johnson,Paletas,2,1
2023-01-20,In-00635,Taylor Smith,Marshmallows,4,6
2023-01-20,In-00828,Quinn Johnson,Marshmallows,8,12
2023-01-20,In-00837,Quinn Garcia,Paletas,4,3
2023-01-20,In-00858,Jordan Brown,Gomitas,12,14
2023-01-20,In-00902,Casey Johnson,Bombones,17,51
2023-01-20,In-01062,Quinn Smith,Chicles,18,5
2023-01-20,In-01135,Jordan Brown,Paletas,18,14
2023-01-20,In-01264,Avery Johnson,Paletas,16,12
2023-01-20,In-01323,Taylor Smith,Marshmallows,18,27
2023-01-20,In-01687,Morgan Garcia,Galletas,8,16
2023-01-20,In-01691,Casey Miller,Bombones,14,42
2023-01-20,In-01774,Jordan Garcia,Frutas confitadas,1,2
2023-01-20,In-01819,Jamie Wilson,Paletas,10,8
2023-01-20,In-01877,Morgan Williams,Paletas,7,5
2023-01-21,In-00128,Avery Miller,Frutas confitadas,14,30
2023-01-21,In-00158,Alex Davis,Chicles,12,3
2023-01-21,In-00456,Morgan Jones,Gomitas,5,6
2023-01-21,In-00506,Jordan Rodriguez,Gomitas,12,14
2023-01-21,In-00620,Taylor Garcia,Chocolate,10,25
2023-01-21,In-00854,Sam Williams,Gomitas,1,1
2023-01-21,In-00877,Jordan Johnson,Paletas,16,12
2023-01-21,In-01096,Jamie Garcia,Chicles,14,4
2023-01-21,In-01108,Jamie Smith,Galletas,15,30
2023-01-21,In-01138,Jordan Williams,Paletas,10,8
2023-01-21,In-01373,Morgan Miller,Chocolate,7,17
2023-01-21,In-01469,Jordan Rodriguez,Chicles,6,1
2023-01-21,In-01599,Quinn Davis,Caramelos,1,0
2023-01-21,In-01623,Sam Williams,Gomitas,16,19
2023-01-21,In-01884,Jordan Rodriguez,Marshmallows,10,15
2023-01-21,In-01905,Casey Smith,Chocolate,4,10
2023-01-22,In-00108,Morgan Miller,Bombones,13,39
2023-01-22,In-00230,Avery Williams,Paletas,11,8
2023-01-22,In-00267,Casey Rodriguez,Caramelos,7,3
2023-01-22,In-00388,Quinn Wilson,Caramelos,18,9
2023-01-22,In-00589,Jordan Wilson,Gomitas,3,3
2023-01-22,In-00613,Avery Wilson,Frutas confitadas,15,33
2023-01-22,In-00620,Quinn Williams,Gomitas,10,12
2023-01-22,In-00861,Riley Smith,Chocolate,5,12
2023-01-22,In-01214,Casey Smith,Gomitas,10,12
2023-01-22,In-01286,Quinn Miller,Caramelos,19,9
2023-01-22,In-01371,Avery Williams,Paletas,9,7
2023-01-22,In-01450,Morgan Miller,Galletas,11,22
2023-01-22,In-01603,Casey Williams,Frutas confitadas,17,37
2023-01-22,In-01727,Alex Johnson,Bombones,19,57
2023-01-22,In-01754,Jordan Davis,Chocolate,14,35
2023-01-23,In-00182,Morgan Smith,Paletas,10,8
2023-01-23,In-00396,Avery Williams,Marshmallows,3,4
2023-01-23,In-00675,Taylor Garcia,Gomitas,16,19
2023-01-23,In-00863,Taylor Wilson,Caramelos,15,7
2023-01-23,In-00902,Jamie Smith,Galletas,19,38
2023-01-23,In-01226,Jamie Davis,Gomitas,4,4
2023-01-23,In-01386,Sam Wilson,Marshmallows,3,4
2023-01-23,In-01741,Taylor Rodriguez,Caramelos,11,5
2023-01-23,In-01920,Jamie Garcia,Bombones,18,54
2023-01-24,In-00014,Alex Garcia,Turrones,12,30
2023-01-24,In-00196,Casey Williams,Paletas,1,0
2023-01-24,In-00416,Morgan Williams,Chicles,17,5
2023-01-24,In-00487,Sam Brown,Paletas,17,13
2023-01-24,In-00508,Sam Rodriguez,Marshmallows,4,6
2023-01-24,In-00685,Jamie Jones,Caramelos,6,3
2023-01-24,In-00785,Quinn Rodriguez,Bombones,6,18
2023-01-24,In-00917,Alex Williams,Frutas confitadas,6,13
2023-01-24,In-00965,Quinn Brown,Chocolate,13,32
2023-01-24,In-01052,Sam Miller,Galletas,9,18
2023-01-24,In-01276,Taylor Smith,Marshmallows,9,13
2023-01-24,In-01303,Avery Garcia,Bombones,2,6
2023-01-24,In-01368,Taylor Johnson,Chicles,8,2
2023-01-24,In-01577,Taylor Davis,Turrones,7,17
2023-01-24,In-01870,Jordan Smith,Frutas confitadas,2,4
2023-01-25,In-00114,Casey Garcia,Galletas,6,12
2023-01-25,In-00198,Taylor Brown,Chocolate,16,40
2023-01-25,In-00495,Riley Garcia,Marshmallows,14,21
2023-01-25,In-00773,Quinn Miller,Gomitas,11,13
2023-01-25,In-00793,Riley Wilson,Galletas,7,14
2023-01-25,In-00980,Taylor Williams,Bombones,9,27
2023-01-25,In-01213,Sam Johnson,Paletas,19,15
2023-01-25,In-01285,Riley Johnson,Bombones,2,6
2023-01-25,In-01571,Avery Rodriguez,Galletas,4,8
2023-01-25,In-01941,Morgan Johnson,Frutas confitadas,17,37
2023-01-25,In-01974,Alex Jones,Paletas,6,4
2023-01-26,In-00039,Riley Davis,Paletas,15,12
2023-01-26,In-00099,Morgan Williams,Caramelos,1,0
2023-01-26,In-00171,Casey Davis,Gomitas,12,14
2023-01-26,In-00218,Riley Davis,Marshmallows,10,15
2023-01-26,In-00219,Quinn Garcia,Frutas confitadas,13,28
2023-01-26,In-00284,Casey Williams,Bombones,15,45
2023-01-26,In-01060,Morgan Williams,Chicles,12,3
2023-01-26,In-01310,Riley Garcia,Gomitas,6,7
2023-01-26,In-01329,Jamie Smith,Caramelos,5,2
2023-01-26,In-01394,Taylor Davis,Gomitas,16,19
2023-01-26,In-01509,Riley Wilson,Chicles,11,3
2023-01-26,In-01552,Sam Garcia,Chicles,1,0
2023-01-26,In-01622,Riley Smith,Frutas confitadas,14,30
2023-01-26,In-01712,Alex Williams,Frutas confitadas,6,13
2023-01-26,In-01877,Jamie Rodriguez,Bombones,15,45
2023-01-27,In-00022,Sam Jones,Marshmallows,14,21
2023-01-27,In-00157,Jordan Johnson,Chicles,11,3
2023-01-27,In-00320,Casey Miller,Frutas confitadas,4,8
2023-01-27,In-00514,Alex Davis,Chicles,13,3
2023-01-27,In-00823,Avery Wilson,Chicles,12,3
2023-01-27,In-00984,Riley Rodriguez,Turrones,7,17
2023-01-27,In-01070,Avery Williams,Bombones,5,15
2023-01-27,In-01219,Riley Jones,Bombones,6,18
2023-01-27,In-01283,Taylor Davis,Turrones,13,32
2023-01-27,In-01286,Alex Miller,Frutas confitadas,4,8
2023-01-27,In-01302,Taylor Miller,Chocolate,6,15
2023-01-27,In-01303,Jamie Williams,Bombones,4,12
2023-01-27,In-01370,Morgan Garcia,Marshmallows,16,24
2023-01-27,In-01583,Casey Rodriguez,Marshmallows,6,9
2023-01-27,In-01878,Jordan Johnson,Chicles,17,5
2023-01-27,In-01996,Casey Wilson,Frutas confitadas,12,26
2023-01-28,In-00411,Casey Miller,Chicles,8,2
2023-01-28,In-00732,Jordan Brown,Caramelos,14,7
2023-01-28,In-00919,Quinn Rodriguez,Chocolate,16,40
2023-01-28,In-00993,Taylor Smith,Chicles,2,0
2023-01-28,In-01046,Morgan Garcia,Gomitas,6,7
2023-01-28,In-01077,Casey Johnson,Turrones,7,17
2023-01-28,In-01152,Jamie Smith,Frutas confitadas,11,24
2023-01-28,In-01272,Quinn Johnson,Marshmallows,16,24
2023-01-28,In-01666,Alex Brown,Frutas confitadas,6,13
2023-01-29,In-00007,Morgan Smith,Caramelos,11,5
2023-01-29,In-00152,Jordan Wilson,Chicles,15,4
2023-01-29,In-00226,Alex Garcia,Frutas confitadas,16,35
2023-01-29,In-00413,Quinn Wilson,Paletas,2,1
2023-01-29,In-00500,Riley Rodriguez,Bombones,15,45
2023-01-29,In-00884,Taylor Rodriguez,Galletas,16,32
2023-01-29,In-00959,Quinn Miller,Paletas,13,10
2023-01-29,In-01338,Alex Brown,Chocolate,16,40
2023-01-29,In-01350,Riley Johnson,Bombones,7,21
2023-01-29,In-01516,Sam Garcia,Frutas confitadas,1,2
2023-01-29,In-01642,Avery Wilson,Caramelos,18,9
2023-01-29,In-01714,Alex Jones,Galletas,11,22
2023-01-29,In-01753,Avery Rodriguez,Frutas confitadas,7,15
2023-01-29,In-01778,Casey Jones,Marshmallows,19,28
2023-01-29,In-01785,Morgan Jones,Frutas confitadas,15,33
2023-01-29,In-01796,Casey Brown,Bombones,2,6
2023-01-29,In-01801,Sam Wilson,Caramelos,5,2
2023-01-30,In-00023,Casey Williams,Bombones,5,15
2023-01-30,In-00181,Riley Johnson,Chocolate,5,12
2023-01-30,In-00200,Jordan Smith,Gomitas,5,6
2023-01-30,In-00383,Taylor Brown,Gomitas,9,10
2023-01-30,In-00429,Taylor Smith,Chicles,8,2
2023-01-30,In-00475,Morgan Miller,Galletas,5,10
2023-01-30,In-00544,Casey Rodriguez,Paletas,5,4
2023-01-30,In-00544,Jamie Smith,Turrones,7,17
2023-01-30,In-00650,Sam Brown,Paletas,15,12
2023-01-30,In-00672,Taylor Rodriguez,Marshmallows,19,28
2023-01-30,In-00696,Quinn Smith,Frutas confitadas,5,11
2023-01-30,In-00717,Sam Brown,Caramelos,5,2
2023-01-30,In-00743,Jamie Brown,Gomitas,9,10
2023-01-30,In-00897,Quinn Jones,Gomitas,16,19
2023-01-30,In-00897,Taylor Jones,Galletas,19,38
2023-01-30,In-01023,Casey Williams,Galletas,16,32
2023-01-30,In-01071,Morgan Davis,Caramelos,12,6
2023-01-30,In-01093,Quinn Smith,Caramelos,18,9
2023-01-30,In-01154,Jordan Garcia,Chicles,11,3
2023-01-30,In-01240,Sam Smith,Paletas,4,3
2023-01-30,In-01282,Jordan Garcia,Bombones,7,21
2023-01-30,In-01457,Quinn Wilson,Turrones,12,30
2023-01-30,In-01490,Quinn Rodriguez,Caramelos,15,7
2023-01-30,In-01641,Riley Smith,Chicles,6,1
2023-01-30,In-01881,Quinn Miller,Caramelos,4,2
2023-01-30,In-01909,Taylor Smith,Caramelos,1,0
2023-01-30,In-01943,Avery Garcia,Frutas confitadas,7,15
2023-01-31,In-00101,Jordan Jones,Frutas confitadas,8,17
2023-01-31,In-00174,Avery Smith,Paletas,19,15
2023-01-31,In-00452,Avery Smith,Marshmallows,10,15
2023-01-31,In-00664,Jamie Davis,Galletas,16,32
2023-01-31,In-00825,Taylor Jones,Chocolate,9,22
2023-01-31,In-01136,Taylor Miller,Galletas,12,24
2023-01-31,In-01148,Avery Williams,Caramelos,11,5
2023-01-31,In-01250,Avery Davis,Marshmallows,7,10
2023-01-31,In-01332,Avery Jones,Chocolate,15,37
2023-01-31,In-01380,Taylor Smith,Caramelos,11,5
2023-01-31,In-01573,Jamie Garcia,Chicles,17,5
2023-02-01,In-00479,Morgan Jones,Gomitas,19,22
2023-02-01,In-00693,Casey Smith,Caramelos,7,3
2023-02-01,In-00975,Morgan Williams,Chocolate,10,25
2023-02-01,In-00986,Riley Smith,Gomitas,15,18
2023-02-01,In-01351,Quinn Brown,Frutas confitadas,14,30
2023-02-01,In-01472,Morgan Garcia,Chocolate,15,37
2023-02-01,In-01627,Jordan Miller,Gomitas,11,13
2023-02-01,In-01884,Riley Miller,Marshmallows,18,27
2023-02-02,In-00166,Quinn Wilson,Chicles,17,5
2023-02-02,In-00420,Taylor Garcia,Marshmallows,7,10
2023-02-02,In-00537,Taylor Rodriguez,Chocolate,19,47
2023-02-02,In-00845,Taylor Johnson,Marshmallows,19,28
2023-02-02,In-01296,Avery Miller,Caramelos,18,9
2023-02-02,In-01396,Avery Rodriguez,Frutas confitadas,16,35
2023-02-02,In-01617,Sam Davis,Frutas confitadas,12,26
2023-02-02,In-01638,Morgan Miller,Turrones,3,7
2023-02-02,In-01702,Jordan Davis,Paletas,5,4
2023-02-02,In-01890,Taylor Jones,Chicles,10,3
2023-02-02,In-01940,Casey Williams,Paletas,4,3
2023-02-03,In-00260,Morgan Garcia,Paletas,16,12
2023-02-03,In-00642,Alex Davis,Gomitas,1,1
2023-02-03,In-00750,Casey Smith,Gomitas,2,2
2023-02-03,In-00972,Alex Williams,Turrones,7,17
2023-02-03,In-01165,Taylor Brown,Marshmallows,14,21
2023-02-03,In-01199,Jamie Williams,Gomitas,14,16
2023-02-03,In-01367,Sam Miller,Frutas confitadas,16,35
2023-02-03,In-01489,Jordan Wilson,Caramelos,19,9
2023-02-03,In-01547,Avery Rodriguez,Frutas confitadas,19,41
2023-02-03,In-01692,Taylor Williams,Frutas confitadas,16,35
